GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,787,787.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,332,332.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1989,1989,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,455,455.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,711,711.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,301,301.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1990,1990,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,410,410.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,647,647.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,275,275.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1991,1991,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,372,372.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,594,594.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,253,253.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1992,1992,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,341,341.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,552,552.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,235,235.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1993,1993,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,317,317.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,519,519.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,221,221.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1994,1994,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,298,298.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,493,493.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,210,210.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1995,1995,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,283,283.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,470,470.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,202,202.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1996,1996,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,268,268.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,449,449.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,193,193.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1997,1997,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,256,256.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,428,428.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,185,185.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1998,1998,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,243,243.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1999,1999,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,406,406.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1999,1999,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,176,176.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,1999,1999,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,230,230.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,382,382.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,166,166.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,216,216.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,358,358.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,156,156.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,202,202.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,335,335.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,146,146.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,189,189.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,315,315.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,139,139.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,176,176.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,299,299.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,131,131.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,168,168.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,285,285.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,125,125.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,160,160.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,273,273.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,120,120.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,153,153.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,263,263.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,117,117.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2007,2007,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,146,146.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,254,254.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,112,112.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,142,142.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,244,244.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,108,108.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2009,2009,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,136,136.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,235,235.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,104,104.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,131,131.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,226,226.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,100,100.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2011,2011,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,126,126.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,217,217.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,96,96.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,121,121.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,209,209.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,92,92.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,117,117.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,201,201.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,89,89.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,112,112.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,194,194.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,86,86.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,108,108.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,188,188.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,83,83.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,105,105.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,182,182.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,80,80.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,102,102.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2018,2018,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,175,175.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2018,2018,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,77,77.00000,,,,,
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,,,,PUBLISHED,Published,,2018,2018,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,98,98.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,1273,1273.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,533,533.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1982,1982,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,740,740.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,1185,1185.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,496,496.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1983,1983,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,689,689.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,1098,1098.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,460,460.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1984,1984,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,638,638.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1985,1985,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,1010,1010.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1985,1985,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,423,423.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1985,1985,,EUR,Europe,,,,,HRV,Croatia,,MLE,Male,,587,587.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,HRV,Croatia,,BTSX,Both sexes,,922,922.00000,,,,,
CM_02,Number of infant deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2711,,,,PUBLISHED,Published,,1986,1986,,EUR,Europe,,,,,HRV,Croatia,,FMLE,Female,,387,387.00000,,,,,
